slug,name,category,tvl,tvl_change_1d,tvl_change_7d,tvl_change_30d,tvl_change_90d,volume_24h,volume_7d,volume_30d,volume_change_7d,volume_change_30d,aggregator_volume_24h,aggregator_volume_30d,fees_24h,fees_30d,fees_change_30d,revenue_24h,revenue_30d,mcap,capital_turnover,momentum
sanctum-validator-lsts,Sanctum Validator LSTs,Liquid Staking,1865268231.5223372,0.35425085175768345,20.73373686757361,31.570477501130757,89.67761987870932,,,,,,,,373794.0,7243889.0,28.89,11045.0,209755.0,,,71.1
kamino-lend,Kamino Lend,Lending,1419354040.8485425,0.4295215160637298,7.137860596769158,18.86415510415717,33.910938449365034,,,,,,,,174790.0,4579247.0,22.57,22606.0,600946.0,,,63.1
raydium-amm,Raydium AMM,Dexs,1343966383.1564627,1.5036448640865387,23.048782655683354,29.433658808476604,67.30975010055393,389795843.0,2638841998.0,8155494357.0,5.11,168.12,,,1284342.0,30117957.0,313.58,197020.0,4637477.0,,6.068227940230071,77.5
jito-liquid-staking,Jito Liquid Staking,Liquid Staking,1214497842.1157901,0.4726535693922358,21.09661696711933,26.937412960967315,81.17922635667537,,,,,,,,213495.0,4180273.0,26.84,0.0,0.0,,,69.7
binance-staked-sol,Binance Staked SOL,Liquid Staking,1198360645.9049613,0.426539458374279,19.290966590090775,24.048839503628354,69.34612074761374,,,,,,,,236098.0,4452175.62,27.19,39877.0,472238.62,,,68.6
jupiter-lend,Jupiter Lend,Lending,1184436747.125841,0.2683661768142116,9.914798420170996,11.81381709007463,37.56581506727119,,,,,,,,39556.0,3766122.0,14.16,1982.0,188835.0,,,59.8
jupiter-perpetual-exchange,Jupiter Perpetual Exchange,Derivatives,815732125.4140797,-0.17474694048623007,12.045578079034541,9.954084607833563,22.77411244182703,,,,,,,,309468.0,8606870.0,22.37,77367.0,2151719.0,,,61.9
jupiter-staked-sol,Jupiter Staked SOL,Liquid Staking,607259147.2438298,0.7942400968134535,21.291419379508667,24.065132892911503,66.10772575732965,,,,,,,,105001.0,2116566.77,24.69,5604.0,119008.77,,,68.5
marinade-native,Marinade Native,Staking Pool,450132891.98983204,0.9952002736351488,21.58309177137528,33.06144755801147,155.56724919440313,,,,,,,,72278.0,1699421.0,65.62,7602.0,169000.0,,,77.3
pumpswap,PumpSwap,Dexs,390557642.307635,4.729906778769674,24.483964374956727,23.028043094385524,89.88071727893455,634146194.0,3372511125.0,18433513917.0,22.16,3.03,,,3398293.0,102501552.0,47.83,451136.0,14718196.0,,47.1979342359924,68.8
sentora-curator,Sentora Curator,Risk Curators,362299260.52236223,-0.2846122787956773,13.272242208447494,-0.9821895401378015,-10.900786258761157,,,,,,,,11773.0,324469.0,-6.05,589.0,16227.0,,,51.6
drift-staked-sol,Drift Staked SOL,Liquid Staking,330342620.1325864,-0.45220141756048804,20.79384863677565,23.336341423378727,73.47394746709224,,,,,,,,60272.0,1206437.4,25.51,1523.0,30343.4,,,68.4
onre,OnRe,RWA,302727749.8294232,0.030171356442608044,0.692042750733691,10.058449676785745,49.06461174436481,,,,,,,,86186.0,2802664.0,22.03,0.01,47293.05000000001,,,58.8
orca-dex,Orca DEX,Dexs,296782447.6755729,5.615841236885217,18.478218951883022,14.493234469316391,24.45402818572407,332748281.0,2051832025.0,7497717773.0,76.13,66.61,,,380363.0,9551733.0,221.63,49447.0,1241725.0,,25.263346372815533,81.4
marinade-liquid-staking,Marinade Liquid Staking,Liquid Staking,272435309.90636617,0.9229842428377708,20.502798087396926,20.432908237278877,57.53607497430728,,,,,,,,43029.0,1173803.0,34.93,4456.0,112787.0,,,69.6
sanctum-infinity,Sanctum Infinity,Dexs,225697918.22453958,-0.4278521389620096,21.551254951776897,21.698985926970423,62.83783995842106,2643835.0,3073540.0,6307319.0,693.74,267.72,,,0.0,278394.0,-48.27,0.0,13920.0,,0.027945844824873625,69.6
solstice,Solstice,Basis Trading,218070334.1309729,-0.42619143704713736,-7.184085295698509,-46.070504303025324,-56.84491779412717,,,,,,,,1367.0,67768.0,-74.82,0.0,0.0,17774050.958771773,,23.0
ccip,CCIP,Bridge,209747670.37589112,0.8778642034834974,3.4608935186572864,180.86170479820095,368.28803067949156,,,,,,,,,,,,,,,77.4
meteora-dlmm,Meteora DLMM,Dexs,196038306.9291995,0.4436642934034154,7.6446668410385,-6.4820537252745485,3.0988341027237087,266827056.0,1476726962.0,6161220693.0,-7.23,92.46,,,982203.0,22664835.0,130.53,100267.0,2280995.0,,31.42865692685851,65.8
marinade-select,Marinade Select,Staking Pool,195121747.17729518,0.43797210851685975,7.847610800574941,10.903987920394863,136.16587386231208,,,,,,,,33807.0,894606.0,75.37,3596.0,89114.0,,,69.0
phantom-sol,Phantom SOL,Liquid Staking,188446119.77428165,0.337403878694829,19.386643871116974,18.59766341113729,78.71557256200362,,,,,,,,33464.0,488137.0,-10.45,438.0,16848.0,,,57.6
huma-finance-v2,Huma Finance V2,RWA,188391043.0506505,3.002763794098513,16.850767967970384,-14.898095290874522,7.393731600716455,,,,,,,,99820.0,2197776.0,40.48,0.0,0.0,,,59.6
dfdv-staked-sol,DFDV Staked SOL,Liquid Staking,186791857.4850079,-0.27958811051703947,21.526140150341973,98.48732780088481,232.0161428735565,,,,,,,,,,,,,,,82.5
the-vault-liquid-staking,The Vault Liquid Staking,Liquid Staking,156481565.3403235,0.4204659586079913,20.810526115727626,22.41045953747395,71.0990645365921,,,,,,,,27332.0,544458.5800000001,25.44,1434.0,23470.71,,,68.2
jpool,JPool,Liquid Staking,149095608.1133792,-0.22550181085397014,21.012399397630816,14.637169666840268,67.42483905209686,,,,,,,,27671.0,580845.0,24.77,3277.0,79907.59,,,66.0
bybit-staked-sol,Bybit Staked SOL,Liquid Staking,146965941.0559698,-0.23717400637096375,20.54537165484622,27.273003212898562,76.37191545838307,,,,,,,,25905.0,513508.39999999997,28.34,1868.0,35638.4,,,70.0
rockawayx,RockawayX,Risk Curators,142199107.85785365,0.4346921096953622,5.282586431235032,388.48451331195645,407.8507795040567,,,,,,,,11652.0,263471.0,967.03,583.0,13173.0,,,85.3
phase-delegation,Phase Delegation,Liquid Staking,128636946.06280753,-0.45220141756048804,20.791266767837442,,,,,,,,,,21183.0,438240.04000000004,24.13,1059.0,21912.039999999997,,,67.9
helius-staked-sol,Helius Staked SOL,Liquid Staking,111067463.47605224,0.09089517968814675,23.184719013661677,26.935596924707777,86.16803591940113,,,,,,,,20240.0,398511.38999999996,28.45,531.0,8965.970000000001,,,70.5
blazestake,BlazeStake,Liquid Staking,106752045.9724407,0.4365125081470751,20.301170687852405,20.398354488845694,47.766876920716314,,,,,,,,18958.0,379306.63,26.71,1103.0,22048.629999999997,0.0,,67.8
unit,Unit,Bridge,101503630.77076724,2.2258080129135465,51.228916950973144,11.509231826751742,118.68029074433115,,,,,,,,,,,,,,,71.5
save,Save,Lending,95299263.18789667,-0.09407869579972328,18.727598294737106,18.454800244508508,55.33480908519739,,,,,,,,1745.0,82057.0,78.31,0.0,12944.0,,,74.1
jagpool-staked-sol,JagPool Staked SOL,Liquid Staking,89918091.95096755,-0.26996892664691075,21.470023014542534,23.636652159676498,72.16040352253178,,,,,,,,15580.0,305341.2,24.21,783.0,12369.35,,,68.4
doublezero-staked-sol,DoubleZero Staked SOL,Liquid Staking,82246638.21002553,0.4369845688104732,17.85356747896452,21.054687443080812,-76.9250069497145,,,,,,,,14253.0,281428.22000000003,-34.95,1006.0,15422.77,,,52.2
loopscale,Loopscale,Lending,77717077.13269447,1.9820355221797428,3.7001187504095157,-18.597467288871314,-1.8455536005319435,,,,,,,,9668.0,289150.0,4.85,0.0,0.0,,,47.0
gate-sol,Gate SOL,Liquid Staking,77325944.82820876,0.4929675394349289,20.882060582400825,23.229173376525463,,,,,,,,,14098.0,282893.28,25.06,729.0,11466.14,,,68.3
kamino-liquidity,Kamino Liquidity,Liquidity Manager,76663591.12203388,0.8100199769614846,2.8380615632068924,-11.317796875883666,-41.44431218899619,,,,,,,,8724.0,185212.0,78.1,984.0,35339.0,,,61.4
sanctum-reserve,Sanctum Reserve,Yield,72794518.78893726,-0.4116017639829579,20.6378662284274,22.861198450023018,72.60731411234605,18233.0,1819971.0,7341099.0,785.24,45.86,,,32.0,8371.68,21.43,32.0,8371.68,,0.10084686487570604,76.9
project-0,Project 0,Lending,68738201.90069216,2.347537084354528,20.848485890549284,14.213683343463956,27.697508155883988,,,,,,,,4136.0,91050.0,32.46,101.0,2753.0,,,67.5
exponent-yield-exchange,Exponent Yield Exchange,Yield,67628648.60600407,1.1401021015923902,-37.87678538653879,-43.534362840843585,-6.810185432835864,,,,,,,,7814.0,331080.0,181.85,5383.0,312499.0,,,46.0
steakhouse-financial,Steakhouse Financial,Risk Curators,66823603.956642166,0.16182817199835142,2.716222175431966,5.63927435580788,119.79966876574667,,,,,,,,,,,,,,,53.5
